Date,Open,High,Low,Close,Volume,Return,Volatility,Volume_MA,Sentiment,CloseMA_3,CloseMA_5,CloseMA_10
2013-02-11,47.13,47.2,46,46.23,1232182,-0.0168014,0.0254615,0,Neutral,0,0,0
2013-02-12,46.22,46.87,45.84,46.66,1812239,0.00930132,0.0222847,0,Neutral,0,0,0
2013-02-13,46.79,47.78,46.64,46.9,2588436,0.00514359,0.0243642,0,Bullish,46.5967,0,0
2013-02-14,42.58,44.86,42.04,43.55,7033474,-0.0714286,0.0662283,2.71594e+006,Neutral,45.7033,0,0
2013-02-15,43.6,45.42,43.5,44.415,2817097,0.0198622,0.0440367,3.09669e+006,Bullish,44.955,45.551,0
2013-02-19,44.49,44.49,43.31,43.52,1607010,-0.0201508,0.0265228,3.17165e+006,Neutral,43.8283,45.009,0
2013-02-20,43.53,43.55,42.68,42.76,1231049,-0.0174632,0.0199862,3.05541e+006,Neutral,43.565,44.229,0
2013-02-21,42.2,43.47,42.2,42.94,1498082,0.00420954,0.0300948,2.83734e+006,Bullish,43.0733,43.437,0
2013-02-22,43.11,44.09,42.9,43.85,1985990,0.0211924,0.0276038,1.82785e+006,Bullish,43.1833,43.497,0
2013-02-25,44.13,44.77,43.5,43.64,1846842,-0.00478905,0.0287786,1.63379e+006,Bearish,43.4767,43.342,44.4465
2013-02-26,43.68,44.21,43.44,43.73,1138070,0.00206233,0.0176282,1.54001e+006,Neutral,43.74,43.384,44.1965
2013-02-27,44.15,45.56,44.1,45.27,2194735,0.0352161,0.0330691,1.73274e+006,Bullish,44.2133,43.886,44.0575
2013-02-28,45.24,45.735,44.58,45.536,1993220,0.00587586,0.0255305,1.83177e+006,Bullish,44.8453,44.4052,43.9211
2013-03-01,45.42,45.94,44.59,45.62,2159112,0.00184469,0.0297226,1.8664e+006,Neutral,45.4753,44.7592,44.1281
2013-03-04,45.42,45.66,44.75,45.51,1841692,-0.00241122,0.0200352,1.86537e+006,Neutral,45.5553,45.1332,44.2376
2013-03-05,45.79,47.84,45.65,47.68,2586716,0.0476818,0.047827,2.1551e+006,Bullish,46.27,45.9232,44.6536
2013-03-06,48,50.88,47.9,48.63,4827085,0.0199245,0.0620833,2.68156e+006,Bullish,47.2733,46.5952,45.2406
2013-03-07,48.59,51.15,48.1,50.59,3630367,0.0403043,0.0627701,3.00899e+006,Bullish,48.9667,47.606,46.0056
2013-03-08,50.77,51.34,50.56,51.03,1531711,0.00869737,0.0153634,2.88351e+006,Bullish,50.0833,48.688,46.7236
2013-03-11,51.09,51.63,50.2581,51.4,1223136,0.00725064,0.0268526,2.7598e+006,Bullish,51.0067,49.866,47.4996
2013-03-12,51.34,51.605,50.61,51.15,1774266,-0.00486381,0.0193806,2.59731e+006,Neutral,51.1933,50.56,48.2416
2013-03-13,51.14,52.61,50.77,52.39,2037598,0.0242424,0.0359797,2.03942e+006,Bullish,51.6467,51.312,48.9536
2013-03-14,52.5,53.41,52.13,52.59,1482357,0.00381752,0.024381,1.60981e+006,Bullish,52.0433,51.712,49.659
2013-03-15,52.47,53.73,52.23,52.4,2655851,-0.00361285,0.0285878,1.83464e+006,Neutral,52.46,51.986,50.337
2013-03-18,52.12,53.41,51.7,52.43,1098101,0.000572519,0.0328089,1.80963e+006,Neutral,52.4733,52.192,51.029
2013-03-19,52.51,53.3528,51.57,52.3,1256238,-0.0024795,0.0339516,1.70603e+006,Neutral,52.3767,52.422,51.491
2013-03-20,52.47,53.45,52.47,53.24,1318940,0.0179732,0.0186773,1.5623e+006,Bullish,52.6567,52.592,51.952
2013-03-21,52.56,53,51.64,51.75,2136343,-0.0279865,0.0258752,1.69309e+006,Neutral,52.43,52.424,52.068
2013-03-22,52.06,52.58,51.96,52.5,1048985,0.0144928,0.0119093,1.37172e+006,Bullish,52.4967,52.444,52.215
2013-03-25,52.93,53.5,52.13,52.24,901361,-0.00495238,0.0258832,1.33237e+006,Bearish,52.1633,52.406,52.299
2013-03-26,53.22,53.22,51.93,52.44,1256101,0.00382848,0.024239,1.33235e+006,Neutral,52.3933,52.434,52.428
