Date,Action,Price,PnL
2013-03-11,Buy,51.4,
2013-03-25,Sell,52.24,0.8400000000000034
2013-04-03,Buy,49.11,
2013-04-10,Sell,50.07,0.9600000000000009
2013-05-06,Buy,55.17,
2013-06-03,Sell,62.06,6.890000000000001
2013-06-21,Buy,60.28,
2013-06-24,Sell,60.68,0.3999999999999986
2013-07-25,Buy,71.1,
2013-08-15,Sell,70.52,-0.5799999999999983
2013-10-01,Buy,78.5,
2013-10-08,Sell,71.7,-6.799999999999997
2013-10-28,Buy,77.79,
2013-11-25,Sell,86.61,8.819999999999993
2013-12-05,Buy,85.54,
2013-12-06,Sell,85.61,0.06999999999999318
2013-12-11,Buy,82.79,
2013-12-20,Sell,83.13,0.3399999999999892
2014-01-08,Buy,85.15,
2014-01-23,Sell,81.34,-3.8100000000000023
2014-01-27,Buy,77.91,
2014-03-13,Sell,103.21,25.299999999999997
2014-03-24,Buy,97.58,
2014-04-02,Sell,95.16,-2.4200000000000017
2014-04-03,Buy,91.3,
2014-04-15,Sell,83.3,-8.0
2014-05-01,Buy,83.5,
2014-06-19,Sell,102.98,19.480000000000004
2014-08-07,Buy,94.45,
2014-08-08,Sell,95.29,0.8400000000000034
2014-08-12,Buy,94.75,
2014-09-17,Sell,96.01,1.2600000000000051
2014-09-25,Buy,91.19,
2014-09-26,Sell,92.15,0.960000000000008
2014-10-02,Buy,88.39,
2014-10-03,Sell,88.63,0.23999999999999488
2014-10-07,Buy,86.96,
2014-10-20,Sell,83.54,-3.4199999999999875
2014-10-21,Buy,88.085,
2015-01-07,Sell,70.84,-17.24499999999999
2015-01-15,Buy,66.39,
2015-01-20,Sell,69.24,2.8499999999999943
2015-01-30,Buy,67.01,
2015-03-06,Sell,85.7,18.689999999999998
2015-03-11,Buy,83.22,
2015-03-12,Sell,84.15,0.9300000000000068
2015-03-13,Buy,82.52,
2015-03-16,Sell,83.17,0.6500000000000057
2015-04-10,Buy,82.93,
2015-04-20,Sell,80.97,-1.960000000000008
2015-05-05,Buy,77.72,
2015-05-07,Sell,78.47,0.75
2015-05-14,Buy,82.16,
2015-05-28,Sell,76.8,-5.359999999999999
2015-05-29,Buy,76.26,
2015-07-02,Sell,86.87,10.61
2015-07-09,Buy,85.96,
2015-07-10,Sell,88.44,2.480000000000004
2015-07-17,Buy,92.18,
2015-07-22,Sell,91.75,-0.4300000000000068
2015-07-23,Buy,93.37,
2015-07-29,Sell,79.71,-13.66000000000001
2015-07-30,Buy,78.69,
2015-09-30,Sell,63.02,-15.669999999999995
2015-10-05,Buy,67.24,
2015-10-30,Sell,83.78,16.540000000000006
2015-11-23,Buy,84.8,
2015-12-09,Sell,82.41,-2.3900000000000006
2016-01-06,Buy,80.1,
2016-02-11,Sell,61.07,-19.029999999999994
2016-02-16,Buy,63.32,
2016-04-12,Sell,61.44,-1.8800000000000026
2016-05-03,Buy,65.83,
2016-06-14,Sell,65.07,-0.7600000000000051
2016-06-24,Buy,61.87,
2016-06-29,Sell,63.89,2.020000000000003
2016-07-08,Buy,67.13,
2016-10-17,Sell,61.46,-5.669999999999995
2016-11-09,Buy,52.63,
2016-12-02,Sell,46.46,-6.170000000000002
2016-12-09,Buy,49.23,
2017-05-18,Sell,44.61,-4.619999999999997
2017-05-23,Buy,40.87,
2017-10-02,Sell,40.98,0.10999999999999943
2017-10-24,Buy,39.3,
2018-01-12,Sell,36.54,-2.759999999999998
2018-02-06,Buy,40.84,
