Buy_Date,Buy_Price,Sell_Date,Sell_Price,PnL,Return_%,Holding_Days
2013-03-11,51.4,2013-03-25,52.24,0.8400000000000034,1.6342412451361934,14
2013-04-03,49.11,2013-04-10,50.07,0.9600000000000009,1.9547953573610282,7
2013-05-06,55.17,2013-06-03,62.06,6.890000000000001,12.488671379372848,28
2013-06-21,60.28,2013-06-24,60.68,0.3999999999999986,0.6635700066356977,3
2013-07-25,71.1,2013-08-15,70.52,-0.5799999999999983,-0.8157524613220792,21
2013-10-01,78.5,2013-10-08,71.7,-6.799999999999997,-8.662420382165601,7
2013-10-28,77.79,2013-11-25,86.61,8.819999999999993,11.338218279984565,28
2013-12-05,85.54,2013-12-06,85.61,0.06999999999999318,0.08183306055645684,1
2013-12-11,82.79,2013-12-20,83.13,0.3399999999999892,0.41067761806980213,9
2014-01-08,85.15,2014-01-23,81.34,-3.8100000000000023,-4.474456840869057,15
2014-01-27,77.91,2014-03-13,103.21,25.299999999999997,32.47336670517264,45
2014-03-24,97.58,2014-04-02,95.16,-2.4200000000000017,-2.4800163968026254,9
2014-04-03,91.3,2014-04-15,83.3,-8.0,-8.762322015334064,12
2014-05-01,83.5,2014-06-19,102.98,19.480000000000004,23.329341317365273,49
2014-08-07,94.45,2014-08-08,95.29,0.8400000000000034,0.8893594494441539,1
2014-08-12,94.75,2014-09-17,96.01,1.2600000000000051,1.3298153034300846,36
2014-09-25,91.19,2014-09-26,92.15,0.960000000000008,1.0527470117337516,1
2014-10-02,88.39,2014-10-03,88.63,0.23999999999999488,0.2715239280461533,1
2014-10-07,86.96,2014-10-20,83.54,-3.4199999999999875,-3.9328426862925343,13
2014-10-21,88.085,2015-01-07,70.84,-17.24499999999999,-19.577680649372756,78
2015-01-15,66.39,2015-01-20,69.24,2.8499999999999943,4.292815183009481,5
2015-01-30,67.01,2015-03-06,85.7,18.689999999999998,27.891359498582297,35
2015-03-11,83.22,2015-03-12,84.15,0.9300000000000068,1.1175198269646802,1
2015-03-13,82.52,2015-03-16,83.17,0.6500000000000057,0.7876878332525518,3
2015-04-10,82.93,2015-04-20,80.97,-1.960000000000008,-2.3634390449777016,10
2015-05-05,77.72,2015-05-07,78.47,0.75,0.9650025733401955,2
2015-05-14,82.16,2015-05-28,76.8,-5.359999999999999,-6.523855890944498,14
2015-05-29,76.26,2015-07-02,86.87,10.61,13.912929451875161,34
2015-07-09,85.96,2015-07-10,88.44,2.480000000000004,2.885062819916245,1
2015-07-17,92.18,2015-07-22,91.75,-0.4300000000000068,-0.4664786287698056,5
2015-07-23,93.37,2015-07-29,79.71,-13.66000000000001,-14.629966798757643,6
2015-07-30,78.69,2015-09-30,63.02,-15.669999999999995,-19.913584953615445,62
2015-10-05,67.24,2015-10-30,83.78,16.540000000000006,24.5984533016062,25
2015-11-23,84.8,2015-12-09,82.41,-2.3900000000000006,-2.818396226415095,16
2016-01-06,80.1,2016-02-11,61.07,-19.029999999999994,-23.757802746566785,36
2016-02-16,63.32,2016-04-12,61.44,-1.8800000000000026,-2.9690461149715768,56
2016-05-03,65.83,2016-06-14,65.07,-0.7600000000000051,-1.1544888348777231,42
2016-06-24,61.87,2016-06-29,63.89,2.020000000000003,3.264910295781483,5
2016-07-08,67.13,2016-10-17,61.46,-5.669999999999995,-8.446298227320117,101
2016-11-09,52.63,2016-12-02,46.46,-6.170000000000002,-11.723351700551019,23
2016-12-09,49.23,2017-05-18,44.61,-4.619999999999997,-9.384521633150515,160
2017-05-23,40.87,2017-10-02,40.98,0.10999999999999943,0.2691460729141166,132
2017-10-24,39.3,2018-01-12,36.54,-2.759999999999998,-7.0229007633587734,80
