Date,Action,Price,Shares
2013-03-05,BUY,47.68,2097.0
2013-03-25,SELL,52.24,2097.0
2013-04-03,BUY,49.11,2230.0
2013-04-10,SELL,50.07,2230.0
2013-05-06,BUY,55.17,2024.0
2013-06-03,SELL,62.06,2024.0
2013-06-21,BUY,60.28,2084.0
2013-06-24,SELL,60.68,2084.0
2013-07-25,BUY,71.1,1778.0
2013-08-15,SELL,70.52,1778.0
2013-10-01,BUY,78.5,1598.0
2013-10-08,SELL,71.7,1598.0
2013-10-28,BUY,77.79,1472.0
2013-11-25,SELL,86.61,1472.0
2013-12-05,BUY,85.54,1491.0
2013-12-06,SELL,85.61,1491.0
2013-12-11,BUY,82.79,1542.0
2013-12-20,SELL,83.13,1542.0
2014-01-08,BUY,85.15,1505.0
2014-01-23,SELL,81.34,1505.0
2014-01-27,BUY,77.91,1571.0
2014-03-13,SELL,103.21,1571.0
2014-03-24,BUY,97.58,1662.0
2014-04-02,SELL,95.16,1662.0
2014-04-03,BUY,91.3,1732.0
2014-04-15,SELL,83.3,1732.0
2014-05-01,BUY,83.5,1728.0
2014-06-17,SELL,104.57,1728.0
2014-07-31,BUY,94.84,1905.0
2014-08-04,SELL,94.79,1905.0
2014-08-07,BUY,94.45,1912.0
2014-08-08,SELL,95.29,1912.0
2014-08-12,BUY,94.75,1923.0
2014-09-17,SELL,96.01,1923.0
2014-09-25,BUY,91.19,2025.0
2014-09-26,SELL,92.15,2025.0
2014-10-02,BUY,88.39,2111.0
2014-10-03,SELL,88.63,2111.0
2014-10-07,BUY,86.96,2151.0
2014-10-20,SELL,83.54,2151.0
2014-10-21,BUY,88.085,2040.0
2014-11-06,SELL,74.005,2040.0
2014-11-10,BUY,72.89,2072.0
2015-01-07,SELL,70.84,2072.0
2015-01-15,BUY,66.39,2211.0
2015-01-20,SELL,69.24,2211.0
2015-01-30,BUY,67.01,2284.0
2015-03-06,SELL,85.7,2284.0
2015-03-11,BUY,83.22,2352.0
2015-03-12,SELL,84.15,2352.0
2015-03-13,BUY,82.52,2399.0
2015-03-16,SELL,83.17,2399.0
2015-04-10,BUY,82.93,2406.0
2015-04-20,SELL,80.97,2406.0
2015-05-05,BUY,77.72,2506.0
2015-05-07,SELL,78.47,2506.0
2015-05-14,BUY,82.16,2394.0
2015-05-28,SELL,76.8,2394.0
2015-05-29,BUY,76.26,2411.0
2015-07-02,SELL,86.87,2411.0
2015-07-09,BUY,85.96,2436.0
2015-07-10,SELL,88.44,2436.0
2015-07-17,BUY,92.18,2337.0
2015-07-22,SELL,91.75,2337.0
2015-07-24,BUY,80.86,2652.0
2015-07-29,SELL,79.71,2652.0
2015-07-30,BUY,78.69,2686.0
2015-09-30,SELL,63.02,2686.0
2015-10-05,BUY,67.24,2518.0
2015-10-30,SELL,83.78,2518.0
2015-11-23,BUY,84.8,2488.0
2015-12-04,SELL,84.37,2488.0
2016-01-06,BUY,80.1,2620.0
2016-02-11,SELL,61.07,2620.0
2016-02-16,BUY,63.32,2527.0
2016-04-12,SELL,61.44,2527.0
2016-05-03,BUY,65.83,2359.0
2016-06-14,SELL,65.07,2359.0
2016-06-24,BUY,61.87,2481.0
2016-06-29,SELL,63.89,2481.0
2016-07-08,BUY,67.13,2361.0
2016-10-17,SELL,61.46,2361.0
2016-11-09,BUY,52.63,2757.0
2016-12-02,SELL,46.46,2757.0
2016-12-09,BUY,49.23,2602.0
2017-05-18,SELL,44.61,2602.0
2017-05-23,BUY,40.87,2840.0
2017-09-26,SELL,41.13,2840.0
2017-09-27,BUY,41.94,2786.0
2017-10-02,SELL,40.98,2786.0
2017-10-24,BUY,39.3,2905.0
2018-01-12,SELL,36.54,2905.0
2018-02-06,BUY,40.84,2599.0
